Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_agent_login_and_view_dashboard,405,482,639,False
jmeter_agent_add_comment:open_request_comment,21,21,21,False
jmeter_agent_add_comment:save_request_comment,476,421,414,False
jmeter_agent_view_request,320,279,270,False
jmeter_agent_browse_projects,78,74,68,False
jmeter_agent_view_customers,865,736,698,False
jmeter_agent_view_queues_small:all_open_queue,1261,1255,1257,False
jmeter_agent_view_queues_small:random_queue,376,354,380,False
jmeter_agent_view_report_workload_small,2281,2221,2817,False
jmeter_agent_view_queues_medium:all_open_queue,1298,1224,1267,False
jmeter_agent_view_queues_medium:random_queue,375,363,384,False
jmeter_agent_view_report_workload_medium,1282,1507,1777,False
jmeter_agent_view_report_created_vs_resolved_medium,178,198,192,False
jmeter_agent_view_report_created_vs_resolved_small,197,182,192,False
jmeter_customer_login_and_view_portals,548,662,1148,False
jmeter_customer_view_requests:my_requests,325,295,287,False
jmeter_customer_view_requests:all_requests,340,304,280,False
jmeter_customer_view_requests:with_filter_requests,322,301,296,False
jmeter_customer_view_request,559,568,430,False
jmeter_customer_add_comment,201,193,199,False
jmeter_customer_view_portal,117,113,118,False
jmeter_customer_create_request:open_create_request_view,112,111,116,False
jmeter_customer_create_request:create_request,554,506,477,False
jmeter_customer_create_request:view_request_after_creation,177,151,139,False
jmeter_customer_share_request_with_org:search_org,26,26,26,False
jmeter_customer_share_request_with_org:add_org,1101,1087,842,False
jmeter_customer_share_request_with_org:remove_org,1209,1193,882,False
jmeter_customer_share_request_with_customer:search_customer,42,40,39,False
jmeter_customer_share_request_with_customer:add_customer,1036,1032,853,False
jmeter_customer_share_request_with_customer:remove_customer,1636,1593,1273,False
selenium_customer_login:open_login_page,158,158,159,False
selenium_agent_login:open_login_page,204,201,204,False
selenium_customer_login:login_and_view_portal,725,882,739,False
selenium_customer_login,879,1017,892,False
selenium_customer_create_request:browse_all_portals,688,688,692,False
selenium_agent_login:login_and_view_dashboard,818,818,806,False
selenium_agent_login,1020,1008,999,False
selenium_customer_create_request:view_portal,244,236,241,False
selenium_agent_browse_projects,347,351,349,False
selenium_customer_create_request:choose_request_type,776,764,774,False
selenium_customer_create_request:create_and_submit_request,626,616,627,False
selenium_customer_create_request,2256,2196,2255,False
selenium_agent_view_customers,872,878,864,False
selenium_customer_view_request,743,603,678,False
selenium_customer_view_requests,609,588,607,False
selenium_agent_view_request,834,864,851,False
selenium_customer_view_all_requests,589,566,570,False
selenium_agent_view_report_workload_medium,1969,1958,2350,False
selenium_agent_view_report_created_vs_resolved_medium,848,828,829,False
selenium_customer_share_request_with_customer:search_for_customer_to_share_with,2683,2686,2687,False
selenium_agent_view_report_workload_small,2783,3202,2811,False
selenium_customer_share_request:share_request_with_customer,2137,2116,2111,False
selenium_customer_share_request_with_customer,4830,4791,4809,False
selenium_agent_view_report_created_vs_resolved_small,898,892,895,False
selenium_agent_add_comment:add comment,659,656,674,False
selenium_agent_add_comment,1368,1364,1374,False
selenium_customer_add_comment,2103,2024,2073,False
selenium_customer_log_out,771,632,624,False
selenium_agent_view_queues_large_project_:all_open_queue,2088,2061,2087,False
selenium_agent_view_queues_large_project:random_choice_queue,362,368,365,False
selenium_agent_view_queues_large_project,2412,2367,2421,False
selenium_agent_view_queues_small_project_:all_open_queue,2242,2178,2205,False
selenium_agent_view_queues_small_project:random_choice_queue,390,402,402,False
selenium_agent_view_queues_small_project,2544,2478,2514,False
load_aws_project,1714,1802,1905,True
select_aws_opsitem_issue_type,1210,162,163,True
set_aws_opsitem_summary,76,76,78,True
set_aws_opsitem_description,147,149,149,True
submit_aws_opsitem,694,684,715,True
load_aws_create_issue_modal,2726,1802,1832,True
selenium_aws_opsitem,4010,3608,3773,True
selenium_agent_logout,618,612,607,False
